HOLIBOBS — Client Recommendations,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top five eligible matches, confidence indicators and a personalised compatibility explanation.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination ID,Destination,Region,Admin enabled?,Flight total,Stay total,Food total,Local transport,Activities,Other,Estimated trip total,Usable budget,Budget headroom,Budget feasible?,Season score,Season eligible?,Similarity % (continuous),Eligible?,"Precise fit score (0–1000, 1dp)",Average preference gap (0–9),Rank: fit → season → headroom,Recommendation explanation,Budget Match (20% sweet spot),Season Match,Adventure Match,Food Match,Overall Match
US,United States,North America,Yes,£500,£160,£110,£50,£80,£35,£935,£800,-£135,No,8.5,Yes,77%,No,769.4,2.08,,Budget over by £135,0%,0.85,0.8333333333,1,77%
CA,Canada,North America,Yes,£500,£140,£100,£44,£76,£35,£895,£800,-£95,No,9.5,Yes,81%,No,806.3,1.74,,Budget over by £95,0%,0.95,0.8333333333,0.8888888889,81%
MX,Mexico,Latin America / Caribbean,Yes,£650,£70,£50,£24,£50,£35,£879,£800,-£79,No,6,Yes,81%,No,809.8,1.71,,Budget over by £79,0%,0.6,0.9444444444,0.8888888889,81%
BR,Brazil,Latin America / Caribbean,Yes,£700,£60,£50,£24,£50,£35,£919,£800,-£119,No,8.5,Yes,78%,No,781.3,1.97,,Budget over by £119,0%,0.85,0.8888888889,0.9444444444,78%
DO,Dominican Republic,Latin America / Caribbean,Yes,£700,£100,£60,£24,£50,£35,£969,£800,-£169,No,6,Yes,82%,No,816.4,1.65,,Budget over by £169,0%,0.6,0.8333333333,0.8888888889,82%
CR,Costa Rica,Latin America / Caribbean,Yes,£650,£100,£70,£30,£70,£35,£955,£800,-£155,No,7,Yes,85%,No,852.8,1.33,,Budget over by £155,0%,0.7,0.8333333333,0.8333333333,85%
AE,United Arab Emirates,Middle East,Yes,£450,£120,£90,£44,£80,£35,£819,£800,-£19,No,3.5,Yes,79%,No,785.7,1.93,,Budget over by £19,0%,0.35,0.8888888889,1,79%
JO,Jordan,Middle East,Yes,£350,£70,£60,£30,£60,£35,£605,£800,£195,Yes,5.5,Yes,77%,Yes,770.2,2.07,10,Overall 77% | Budget 95% | Season 55% | Adventure 94% | Food 94%,95%,0.55,0.9444444444,0.9444444444,77%
AU,Australia,Oceania,Yes,£950,£140,£110,£50,£80,£35,"£1,365",£800,-£565,No,7.5,Yes,84%,No,837.3,1.46,,Budget over by £565,0%,0.75,0.8333333333,1,84%
NZ,New Zealand,Oceania,Yes,"£1,050",£130,£100,£44,£76,£35,"£1,435",£800,-£635,No,7,Yes,85%,No,847.6,1.37,,Budget over by £635,0%,0.7,0.8333333333,0.8888888889,85%
FJ,Fiji,Oceania,Yes,"£1,200",£160,£90,£36,£90,£35,"£1,611",£800,-£811,No,9.5,Yes,83%,No,833.5,1.5,,Budget over by £811,0%,0.95,0.9444444444,0.8333333333,83%
SG,Singapore,Asia,Yes,£650,£140,£70,£36,£70,£35,"£1,001",£800,-£201,No,7.5,Yes,73%,No,729.7,2.43,,Budget over by £201,0%,0.75,0.6666666667,0.8333333333,73%
UK_LOCAL,UK Local Staycation,Europe,Yes,£0,£0,£30,£16,£14,£10,£70,£800,£730,Yes,8,Yes,72%,Yes,722.5,2.5,15,Overall 72% | Budget 11% | Season 80% | Adventure 67% | Food 78%,11%,0.8,0.6666666667,0.7777777778,72%
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP 5,Eligible only,Closest fit first,Continuous similarity,Live cost,Headroom,Budget confidence,Season confidence,Adventure confidence,Food confidence,Client-facing relative fit,,,,,,,,,,,,,,,,
Rank,Destination,Fit score /1000,Similarity,Estimated trip total,Budget headroom,Budget,Season,Adventure,Food,Relative Fit,,,,,,,,,,,,,,,,
1,Portugal,930.5,0.9304536811,£445,£355,70%,85%,100%,100%,93%,,,,,,,,,,,,,,,,
2,Spain,854.1,0.8541157294,£461,£339,72%,75%,89%,94%,85%,,,,,,,,,,,,,,,,
3,Greece,852.5,0.8524857376,£520,£280,81%,80%,89%,100%,85%,,,,,,,,,,,,,,,,
4,Morocco,840,0.8399891334,£370,£430,58%,55%,100%,94%,84%,,,,,,,,,,,,,,,,
5,Türkiye,828,0.8280358598,£498,£302,78%,75%,100%,100%,83%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NO-RESULT CHECK,Live result,,,,,,,,,,,,,,,,,,,,,,,,,
Eligible,15,,,,,,,,,,,,,,,,,,,,,,,,,
Usable budget,£800,,,,,,,,,,,,,,,,,,,,,,,,,
Cheapest allowed trip,£70,,,,,,,,,,,,,,,,,,,,,,,,,
Budget gap,£0,,,,,,,,,,,,,,,,,,,,,,,,,
Cheapest allowed destination,UK Local Staycation,,,,,,,,,,,,,,,,,,,,,,,,,
Budget-feasible,15,,,,,,,,,,,,,,,,,,,,,,,,,
Season-eligible,33,,,,,,,,,,,,,,,,,,,,,,,,,
Within flight cap,33,,,,,,,,,,,,,,,,,,,,,,,,,
Conclusion,Recommendations available,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WHY THIS IS YOUR #1 MATCH,,,,,,,,,,,,,,,,,,,,Beach,9.5,9.5,4.5,your love of beaches,1,
"We picked Portugal as your number 1 destination because it best reflects your love of beaches, your desire to relax and your need for family-friendly travel. Across all 15 preferences, it has the strongest eligible relative fit at 93%.",,,,,,,,,,,,,,,,,,,,Culture,8,8,3,your interest in culture,11,
,,,,,,,,,,,,,,,,,,,,Food,8.5,8.5,3.5,your enthusiasm for food,5,
,,,,,,,,,,,,,,,,,,,,Nightlife,7.5,7.5,2.5,your interest in nightlife,12,
Relative Fit is presentation-normalised only when the strongest raw similarity is below 80%: first place becomes 96% and the remaining results scale proportionally. Raw similarity remains unchanged in the backend. Budget and season do not influence ranking.,,,,,,,,,,,,,,,,,,,,Nature,8.5,8.5,3.5,your love of nature,6,
,,,,,,,,,,,,,,,,,,,,Adventure,8.5,8.5,3.5,your appetite for adventure,7,
,,,,,,,,,,,,,,,,,,,,Relaxation,9,9,4,your desire to relax,2,
,,,,,,,,,,,,,,,,,,,,Romance,8.5,8.5,3.5,your interest in romantic experiences,8,
,,,,,,,,,,,,,,,,,,,,Family,9,9,4,your need for family-friendly travel,3,
,,,,,,,,,,,,,,,,,,,,Solo,8.5,8.5,3.5,your preference for solo-friendly travel,9,
,,,,,,,,,,,,,,,,,,,,Luxury,7.5,7.5,2.5,your taste for luxury,13,
,,,,,,,,,,,,,,,,,,,,Hidden gem,4.5,4.5,0.5,well-known favourites,15,
,,,,,,,,,,,,,,,,,,,,Activity level,8.5,8.5,3.5,your preference for an active itinerary,10,
,,,,,,,,,,,,,,,,,,,,Good shopping,1,7,1.333333333,less emphasis on shopping,14,
,,,,,,,,,,,,,,,,,,,,Safety,9,9.5,3.777777778,your preference for safety,4,
